Customer_Speaking,Till_Response
"I'll have large Barbeque Double Melt, Cheese Loaded Fries, large Small Fries","Sure! You've ordered Barbeque Double Melt, Cheese Loaded Fries, Small Fries."
Could I have large Small Fries,Sure! You've ordered Small Fries.
I'll have 20 Nuggets,Sure! You've ordered 20 Nuggets.
"Please give me Water, Chimichuri Chicken","Sure! You've ordered Water, Chimichuri Chicken."
"Could I have Classic Double Melt, Whopper, 5 Doritos","Sure! You've ordered Classic Double Melt, Whopper, 5 Doritos."
"Please give me PB Whopper, medium Large Fries, small Classic Double Melt","Sure! You've ordered PB Whopper, Large Fries, Classic Double Melt."
I need medium Fries,Sure! You've ordered Fries.
"Could I have Classic Double Melt, 4 Chilli Bites, medium Chimichuri Angus","Sure! You've ordered Classic Double Melt, 4 Chilli Bites, Chimichuri Angus."
"Can you get me 9 Doritos, Vegan Royale, medium Barbeque Sauce","Sure! You've ordered 9 Doritos, Vegan Royale, Barbeque Sauce."
I need Diet Cocacola,Sure! You've ordered Diet Cocacola.
"I want Hot Chilli, small 9 Nuggets","Sure! You've ordered Hot Chilli, 9 Nuggets."
I need Cocacola Zero,Sure! You've ordered Cocacola Zero.
Could I have 20 Doritos,Sure! You've ordered 20 Doritos.
"I'll have large 6 Nuggets, Water, 20 Nuggets","Sure! You've ordered 6 Nuggets, Water, 20 Nuggets."
I want Fries,Sure! You've ordered Fries.
I want medium 4 Chilli Bites,Sure! You've ordered 4 Chilli Bites.
"Can you get me large 4 Nuggets, 6 Chilli Bites","Sure! You've ordered 4 Nuggets, 6 Chilli Bites."
"Please give me Cheese Loaded Fries, medium Small Fries, Bacon Loaded Fries","Sure! You've ordered Cheese Loaded Fries, Small Fries, Bacon Loaded Fries."
I want Barbeque Sauce,Sure! You've ordered Barbeque Sauce.
Could I have Chimichuri Angus,Sure! You've ordered Chimichuri Angus.
"Please give me Chimichuri Chicken, 6 Chilli Bites, large Bacon Double","Sure! You've ordered Chimichuri Chicken, 6 Chilli Bites, Bacon Double."
"Please give me Hot Chilli, Mayo, 5 Doritos","Sure! You've ordered Hot Chilli, Mayo, 5 Doritos."
Could I have 20 Nuggets,Sure! You've ordered 20 Nuggets.
"Could I have Steakhouse Angus, Chimichuri Loaded Fries, Chimichuri Angus","Sure! You've ordered Steakhouse Angus, Chimichuri Loaded Fries, Chimichuri Angus."
"I'll have Steakhouse Chicken, Chimichuri Loaded Fries","Sure! You've ordered Steakhouse Chicken, Chimichuri Loaded Fries."
"Can you get me medium 20 Nuggets, Diet Cocacola, medium Bacon Double X L","Sure! You've ordered 20 Nuggets, Diet Cocacola, Bacon Double X L."
Can you get me Spicy Mayo,Sure! You've ordered Spicy Mayo.
"Can I get 6 Chilli Bites, small 6 Nuggets, 9 Chilli Bites","Sure! You've ordered 6 Chilli Bites, 6 Nuggets, 9 Chilli Bites."
"Can I get 4 Chilli Bites, Fries, small 5 Doritos","Sure! You've ordered 4 Chilli Bites, Fries, 5 Doritos."
"Please give me large 9 Chilli Bites, Cheese Loaded Fries","Sure! You've ordered 9 Chilli Bites, Cheese Loaded Fries."
"I'll have 20 Doritos, 4 Nuggets, Mayo","Sure! You've ordered 20 Doritos, 4 Nuggets, Mayo."
"I want medium Chimichuri Chicken, 6 Doritos","Sure! You've ordered Chimichuri Chicken, 6 Doritos."
"Could I have medium 6 Nuggets, Hot Chilli","Sure! You've ordered 6 Nuggets, Hot Chilli."
"I'd like to order 20 Doritos, large Spicy Mayo","Sure! You've ordered 20 Doritos, Spicy Mayo."
Can you get me Small Fries,Sure! You've ordered Small Fries.
Please give me small Tea,Sure! You've ordered Tea.
Can I get 6 Doritos,Sure! You've ordered 6 Doritos.
I need Tea,Sure! You've ordered Tea.
"I want 5 Doritos, Cocacola Zero, Fries","Sure! You've ordered 5 Doritos, Cocacola Zero, Fries."
"Can you get me Hot Chilli, Bacon Double X L, 6 Chilli Bites","Sure! You've ordered Hot Chilli, Bacon Double X L, 6 Chilli Bites."
"I'd like to order large Barbeque Sauce, Cheese Burger","Sure! You've ordered Barbeque Sauce, Cheese Burger."
Could I have small Mayo,Sure! You've ordered Mayo.
I'll have large Chimichuri Loaded Fries,Sure! You've ordered Chimichuri Loaded Fries.
"I want small 6 Doritos, Barbeque Double Melt, Hot Chilli","Sure! You've ordered 6 Doritos, Barbeque Double Melt, Hot Chilli."
I'll have Whopper,Sure! You've ordered Whopper.
"Could I have large Mayo, Cocacola Classic, 6 Chilli Bites","Sure! You've ordered Mayo, Cocacola Classic, 6 Chilli Bites."
"Please give me Bacon Stacker, small PB Whopper","Sure! You've ordered Bacon Stacker, PB Whopper."
"Can you get me large Water, medium Fanta, Hot Chilli","Sure! You've ordered Water, Fanta, Hot Chilli."
"Could I have Whopper, medium Cheese Burger, Chimichuri Loaded Fries","Sure! You've ordered Whopper, Cheese Burger, Chimichuri Loaded Fries."
I'll have small Cocacola Classic,Sure! You've ordered Cocacola Classic.
"I want Mayo, large Diet Cocacola","Sure! You've ordered Mayo, Diet Cocacola."
Could I have 6 Nuggets,Sure! You've ordered 6 Nuggets.
"I'd like to order Sprite Zero, large Cheese Burger","Sure! You've ordered Sprite Zero, Cheese Burger."
"I'd like to order 6 Chilli Bites, medium Fanta, medium 20 Chilli Bites","Sure! You've ordered 6 Chilli Bites, Fanta, 20 Chilli Bites."
"Can you get me Bacon Stacker, Chilli Jam Whopper","Sure! You've ordered Bacon Stacker, Chilli Jam Whopper."
Could I have Chimichuri Chicken,Sure! You've ordered Chimichuri Chicken.
"Can I get Water, Cheese Burger","Sure! You've ordered Water, Cheese Burger."
"I want Steakhouse Chicken, 20 Doritos","Sure! You've ordered Steakhouse Chicken, 20 Doritos."
I want Fanta,Sure! You've ordered Fanta.
I want 9 Nuggets,Sure! You've ordered 9 Nuggets.
"Please give me Bacon Double X L, large Small Fries, 3 Chilli Bites","Sure! You've ordered Bacon Double X L, Small Fries, 3 Chilli Bites."
Please give me Classic Double Melt,Sure! You've ordered Classic Double Melt.
Can I get medium Hot Chilli,Sure! You've ordered Hot Chilli.
I need Bacon Loaded Fries,Sure! You've ordered Bacon Loaded Fries.
I'll have Tea,Sure! You've ordered Tea.
Could I have 4 Nuggets,Sure! You've ordered 4 Nuggets.
"I'd like to order Sprite Zero, large Chimichuri Loaded Fries","Sure! You've ordered Sprite Zero, Chimichuri Loaded Fries."
I want large Water,Sure! You've ordered Water.
"I'll have Chimichuri Chicken, Tea","Sure! You've ordered Chimichuri Chicken, Tea."
I want PB Whopper,Sure! You've ordered PB Whopper.
"I want large Tea, Ham Burger","Sure! You've ordered Tea, Ham Burger."
Please give me Steakhouse Angus,Sure! You've ordered Steakhouse Angus.
"I'd like to order 3 Chilli Bites, Small Fries, Cheese Loaded Fries","Sure! You've ordered 3 Chilli Bites, Small Fries, Cheese Loaded Fries."
"Can you get me medium Fanta, Mayo, medium Diet Cocacola","Sure! You've ordered Fanta, Mayo, Diet Cocacola."
"Can you get me medium Bacon Loaded Fries, medium Chimichuri Loaded Fries, Steakhouse Chicken","Sure! You've ordered Bacon Loaded Fries, Chimichuri Loaded Fries, Steakhouse Chicken."
"Can I get medium Chimichuri Chicken, medium Mayo","Sure! You've ordered Chimichuri Chicken, Mayo."
Could I have small Water,Sure! You've ordered Water.
"Could I have 9 Nuggets, 20 Nuggets","Sure! You've ordered 9 Nuggets, 20 Nuggets."
"I need Chimichuri Loaded Fries, small Barbeque Double Melt, Fanta","Sure! You've ordered Chimichuri Loaded Fries, Barbeque Double Melt, Fanta."
"Please give me medium Barbeque Double Melt, large Chimichuri Chicken","Sure! You've ordered Barbeque Double Melt, Chimichuri Chicken."
"I want medium 9 Nuggets, PB Whopper","Sure! You've ordered 9 Nuggets, PB Whopper."
Please give me 9 Doritos,Sure! You've ordered 9 Doritos.
"I need Hot Chilli, Chilli Jam Whopper","Sure! You've ordered Hot Chilli, Chilli Jam Whopper."
"Can you get me large Sprite Zero, small Whopper, 3 Chilli Bites","Sure! You've ordered Sprite Zero, Whopper, 3 Chilli Bites."
"Can I get small Bacon Stacker, 6 Nuggets, small Barbeque Double Melt","Sure! You've ordered Bacon Stacker, 6 Nuggets, Barbeque Double Melt."
I want Mayo,Sure! You've ordered Mayo.
I'll have large Bacon Double,Sure! You've ordered Bacon Double.
"Can I get 3 Chilli Bites, Barbeque Double Melt","Sure! You've ordered 3 Chilli Bites, Barbeque Double Melt."
"Can you get me medium 5 Doritos, Barbeque Double Melt","Sure! You've ordered 5 Doritos, Barbeque Double Melt."
"I want medium 4 Nuggets, large Whopper, small Mayo","Sure! You've ordered 4 Nuggets, Whopper, Mayo."
"Can I get Hot Chilli, large 9 Chilli Bites","Sure! You've ordered Hot Chilli, 9 Chilli Bites."
"I'd like to order Classic Double Melt, medium Fanta","Sure! You've ordered Classic Double Melt, Fanta."
"Could I have medium Sprite Zero, 9 Doritos, small Bacon Double","Sure! You've ordered Sprite Zero, 9 Doritos, Bacon Double."
I'll have Hot Chilli,Sure! You've ordered Hot Chilli.
"Can you get me Fanta, small Barbeque Sauce, Small Fries","Sure! You've ordered Fanta, Barbeque Sauce, Small Fries."
I want medium Chimichuri Loaded Fries,Sure! You've ordered Chimichuri Loaded Fries.
"I want Steakhouse Angus, Chimichuri Loaded Fries","Sure! You've ordered Steakhouse Angus, Chimichuri Loaded Fries."
"I'll have Steakhouse Angus, Mayo","Sure! You've ordered Steakhouse Angus, Mayo."
"I want Sprite Zero, 9 Nuggets","Sure! You've ordered Sprite Zero, 9 Nuggets."
Could I have Small Fries,Sure! You've ordered Small Fries.
"Can I get 20 Doritos, 5 Doritos","Sure! You've ordered 20 Doritos, 5 Doritos."
"Can you get me Ham Burger, medium Cheese Burger","Sure! You've ordered Ham Burger, Cheese Burger."
"Can I get 6 Chilli Bites, large Bacon Double","Sure! You've ordered 6 Chilli Bites, Bacon Double."
"I need Barbeque Sauce, Cocacola Classic","Sure! You've ordered Barbeque Sauce, Cocacola Classic."
Could I have 6 Nuggets,Sure! You've ordered 6 Nuggets.
I need medium 4 Nuggets,Sure! You've ordered 4 Nuggets.
"I'd like to order small Large Fries, small Whopper, 9 Doritos","Sure! You've ordered Large Fries, Whopper, 9 Doritos."
"Can you get me Bacon Double X L, small Classic Double Melt","Sure! You've ordered Bacon Double X L, Classic Double Melt."
"I'll have Chimichuri Loaded Fries, 6 Nuggets, 9 Nuggets","Sure! You've ordered Chimichuri Loaded Fries, 6 Nuggets, 9 Nuggets."
I'll have PB Whopper,Sure! You've ordered PB Whopper.
Please give me medium Ham Burger,Sure! You've ordered Ham Burger.
"I want Bacon Loaded Fries, Chicken Royale, large 20 Chilli Bites","Sure! You've ordered Bacon Loaded Fries, Chicken Royale, 20 Chilli Bites."
I'll have small Vegan Royale,Sure! You've ordered Vegan Royale.
"I want Whopper, Sprite Zero, small 9 Chilli Bites","Sure! You've ordered Whopper, Sprite Zero, 9 Chilli Bites."
Could I have Fanta,Sure! You've ordered Fanta.
"I'll have Whopper, Cheese Loaded Fries","Sure! You've ordered Whopper, Cheese Loaded Fries."
I need Bacon Loaded Fries,Sure! You've ordered Bacon Loaded Fries.
Please give me small 9 Chilli Bites,Sure! You've ordered 9 Chilli Bites.
"I'll have 9 Doritos, Chimichuri Chicken, 4 Nuggets","Sure! You've ordered 9 Doritos, Chimichuri Chicken, 4 Nuggets."
I need Mayo,Sure! You've ordered Mayo.
"I need Chimichuri Chicken, Whopper, medium Vegan Royale","Sure! You've ordered Chimichuri Chicken, Whopper, Vegan Royale."
Could I have small Water,Sure! You've ordered Water.
"I'll have 9 Chilli Bites, large Chimichuri Loaded Fries","Sure! You've ordered 9 Chilli Bites, Chimichuri Loaded Fries."
"Can I get small Bacon Loaded Fries, large 6 Doritos","Sure! You've ordered Bacon Loaded Fries, 6 Doritos."
"I need Bacon Double, Cocacola Zero, Bacon Loaded Fries","Sure! You've ordered Bacon Double, Cocacola Zero, Bacon Loaded Fries."
"Can you get me 3 Chilli Bites, small 20 Chilli Bites","Sure! You've ordered 3 Chilli Bites, 20 Chilli Bites."
"I'd like to order medium 4 Nuggets, Barbeque Sauce","Sure! You've ordered 4 Nuggets, Barbeque Sauce."
"I'll have Large Fries, Cheese Burger, Spicy Mayo","Sure! You've ordered Large Fries, Cheese Burger, Spicy Mayo."
"Could I have Barbeque Sauce, 20 Chilli Bites","Sure! You've ordered Barbeque Sauce, 20 Chilli Bites."
"I want Barbeque Sauce, 20 Nuggets, small Tea","Sure! You've ordered Barbeque Sauce, 20 Nuggets, Tea."
"I'll have large Diet Cocacola, Steakhouse Chicken, small 20 Nuggets","Sure! You've ordered Diet Cocacola, Steakhouse Chicken, 20 Nuggets."
"I need 9 Doritos, Chimichuri Loaded Fries","Sure! You've ordered 9 Doritos, Chimichuri Loaded Fries."
Please give me small Ham Burger,Sure! You've ordered Ham Burger.
"Can you get me Chimichuri Loaded Fries, Fries, small Cocacola Zero","Sure! You've ordered Chimichuri Loaded Fries, Fries, Cocacola Zero."
"I'd like to order Chimichuri Angus, Chimichuri Loaded Fries, 4 Chilli Bites","Sure! You've ordered Chimichuri Angus, Chimichuri Loaded Fries, 4 Chilli Bites."
"Could I have 9 Doritos, small Small Fries","Sure! You've ordered 9 Doritos, Small Fries."
Can I get Bacon Loaded Fries,Sure! You've ordered Bacon Loaded Fries.
Could I have Hot Chilli,Sure! You've ordered Hot Chilli.
Could I have 3 Chilli Bites,Sure! You've ordered 3 Chilli Bites.
"I need Classic Double Melt, medium PB Whopper","Sure! You've ordered Classic Double Melt, PB Whopper."
"Could I have 5 Doritos, Water, 6 Chilli Bites","Sure! You've ordered 5 Doritos, Water, 6 Chilli Bites."
"Can you get me large 6 Nuggets, large Barbeque Double Melt","Sure! You've ordered 6 Nuggets, Barbeque Double Melt."
I want small Barbeque Double Melt,Sure! You've ordered Barbeque Double Melt.
"I need PB Whopper, small 6 Chilli Bites","Sure! You've ordered PB Whopper, 6 Chilli Bites."
"I need Ham Burger, Chimichuri Angus","Sure! You've ordered Ham Burger, Chimichuri Angus."
"Can I get Cocacola Zero, small 5 Doritos, 6 Nuggets","Sure! You've ordered Cocacola Zero, 5 Doritos, 6 Nuggets."
I want Mayo,Sure! You've ordered Mayo.
"I'd like to order Water, 3 Chilli Bites","Sure! You've ordered Water, 3 Chilli Bites."
"Can you get me small Ham Burger, Cocacola Classic","Sure! You've ordered Ham Burger, Cocacola Classic."
"I want Water, Cheese Loaded Fries, Classic Double Melt","Sure! You've ordered Water, Cheese Loaded Fries, Classic Double Melt."
"Can you get me large Barbeque Sauce, Tea, Water","Sure! You've ordered Barbeque Sauce, Tea, Water."
Could I have medium Barbeque Sauce,Sure! You've ordered Barbeque Sauce.
"I'll have Vegan Royale, Hot Chilli","Sure! You've ordered Vegan Royale, Hot Chilli."
"I want large Chicken Royale, Chimichuri Chicken, medium Whopper","Sure! You've ordered Chicken Royale, Chimichuri Chicken, Whopper."
"Can I get Ham Burger, 9 Chilli Bites","Sure! You've ordered Ham Burger, 9 Chilli Bites."
"I'd like to order 9 Chilli Bites, 20 Chilli Bites, large Bacon Stacker","Sure! You've ordered 9 Chilli Bites, 20 Chilli Bites, Bacon Stacker."
"I need 20 Nuggets, Hot Chilli","Sure! You've ordered 20 Nuggets, Hot Chilli."
"Could I have Chimichuri Angus, 6 Doritos, Steakhouse Chicken","Sure! You've ordered Chimichuri Angus, 6 Doritos, Steakhouse Chicken."
Can I get Cheese Loaded Fries,Sure! You've ordered Cheese Loaded Fries.
"Could I have small 9 Chilli Bites, Fanta, Large Fries","Sure! You've ordered 9 Chilli Bites, Fanta, Large Fries."
Can I get Classic Double Melt,Sure! You've ordered Classic Double Melt.
"Can I get medium Bacon Double X L, Cocacola Classic, Vegan Royale","Sure! You've ordered Bacon Double X L, Cocacola Classic, Vegan Royale."
Can I get small Steakhouse Chicken,Sure! You've ordered Steakhouse Chicken.
Please give me small 4 Chilli Bites,Sure! You've ordered 4 Chilli Bites.
Can I get Sprite Zero,Sure! You've ordered Sprite Zero.
I want 9 Chilli Bites,Sure! You've ordered 9 Chilli Bites.
"I need Small Fries, small Cheese Burger","Sure! You've ordered Small Fries, Cheese Burger."
"I need 6 Doritos, Fries","Sure! You've ordered 6 Doritos, Fries."
"Can I get large Steakhouse Angus, Whopper, Ham Burger","Sure! You've ordered Steakhouse Angus, Whopper, Ham Burger."
"Can I get Chimichuri Chicken, small Ham Burger","Sure! You've ordered Chimichuri Chicken, Ham Burger."
Can I get Chicken Royale,Sure! You've ordered Chicken Royale.
"I want large Barbeque Sauce, Bacon Double","Sure! You've ordered Barbeque Sauce, Bacon Double."
"Can you get me Classic Double Melt, Barbeque Sauce, medium Bacon Double","Sure! You've ordered Classic Double Melt, Barbeque Sauce, Bacon Double."
I'll have 9 Nuggets,Sure! You've ordered 9 Nuggets.
"Can you get me large Spicy Mayo, Whopper","Sure! You've ordered Spicy Mayo, Whopper."
"Can I get small 3 Chilli Bites, 6 Doritos","Sure! You've ordered 3 Chilli Bites, 6 Doritos."
I'd like to order 6 Doritos,Sure! You've ordered 6 Doritos.
"I need medium Small Fries, medium Cheese Burger","Sure! You've ordered Small Fries, Cheese Burger."
Please give me Chimichuri Angus,Sure! You've ordered Chimichuri Angus.
"Can you get me Chilli Jam Whopper, large Hot Chilli","Sure! You've ordered Chilli Jam Whopper, Hot Chilli."
"Please give me small Cocacola Zero, large Diet Cocacola","Sure! You've ordered Cocacola Zero, Diet Cocacola."
I need 4 Nuggets,Sure! You've ordered 4 Nuggets.
"Can I get large Spicy Mayo, 5 Doritos, Bacon Stacker","Sure! You've ordered Spicy Mayo, 5 Doritos, Bacon Stacker."
Could I have Bacon Double X L,Sure! You've ordered Bacon Double X L.
"I'll have small Steakhouse Angus, 4 Chilli Bites, 5 Doritos","Sure! You've ordered Steakhouse Angus, 4 Chilli Bites, 5 Doritos."
"I'll have Ham Burger, Cheese Burger, Classic Double Melt","Sure! You've ordered Ham Burger, Cheese Burger, Classic Double Melt."
"I'd like to order Chimichuri Chicken, Classic Double Melt, Vegan Royale","Sure! You've ordered Chimichuri Chicken, Classic Double Melt, Vegan Royale."
"I need large 3 Chilli Bites, medium Vegan Royale","Sure! You've ordered 3 Chilli Bites, Vegan Royale."
"I want small Mayo, large Bacon Double, Fries","Sure! You've ordered Mayo, Bacon Double, Fries."
Can I get 5 Doritos,Sure! You've ordered 5 Doritos.
"Could I have Water, Cocacola Classic, medium PB Whopper","Sure! You've ordered Water, Cocacola Classic, PB Whopper."
"I'll have medium Vegan Royale, medium Classic Double Melt, small 9 Doritos","Sure! You've ordered Vegan Royale, Classic Double Melt, 9 Doritos."
I need Sprite Zero,Sure! You've ordered Sprite Zero.
I'll have medium Cheese Burger,Sure! You've ordered Cheese Burger.
Please give me Cocacola Classic,Sure! You've ordered Cocacola Classic.
"I'd like to order Cheese Loaded Fries, Bacon Loaded Fries, 5 Doritos","Sure! You've ordered Cheese Loaded Fries, Bacon Loaded Fries, 5 Doritos."
"Could I have medium 5 Doritos, Chimichuri Angus","Sure! You've ordered 5 Doritos, Chimichuri Angus."
I need large Small Fries,Sure! You've ordered Small Fries.
"I'll have Water, medium 3 Chilli Bites","Sure! You've ordered Water, 3 Chilli Bites."
I'd like to order Vegan Royale,Sure! You've ordered Vegan Royale.
"Could I have Steakhouse Chicken, large Cheese Burger","Sure! You've ordered Steakhouse Chicken, Cheese Burger."
"I'd like to order Cocacola Classic, Bacon Double","Sure! You've ordered Cocacola Classic, Bacon Double."
"Can you get me Bacon Double, Bacon Stacker","Sure! You've ordered Bacon Double, Bacon Stacker."
I'd like to order medium Spicy Mayo,Sure! You've ordered Spicy Mayo.
"I'll have small Fanta, 9 Doritos","Sure! You've ordered Fanta, 9 Doritos."
"I want Barbeque Double Melt, large Classic Double Melt","Sure! You've ordered Barbeque Double Melt, Classic Double Melt."
I'll have Cheese Burger,Sure! You've ordered Cheese Burger.
"I'll have Bacon Loaded Fries, Fanta","Sure! You've ordered Bacon Loaded Fries, Fanta."
"Can you get me PB Whopper, 6 Chilli Bites","Sure! You've ordered PB Whopper, 6 Chilli Bites."
"I'll have Chilli Jam Halumi, Cheese Loaded Fries","Sure! You've ordered Chilli Jam Halumi, Cheese Loaded Fries."
"Can I get Sprite Zero, small 6 Nuggets","Sure! You've ordered Sprite Zero, 6 Nuggets."
"Please give me large 20 Chilli Bites, Small Fries","Sure! You've ordered 20 Chilli Bites, Small Fries."
"I want 9 Doritos, Bacon Loaded Fries, large Spicy Mayo","Sure! You've ordered 9 Doritos, Bacon Loaded Fries, Spicy Mayo."
"I'll have Bacon Double X L, 4 Chilli Bites","Sure! You've ordered Bacon Double X L, 4 Chilli Bites."
"Please give me large 9 Nuggets, Fries, Bacon Loaded Fries","Sure! You've ordered 9 Nuggets, Fries, Bacon Loaded Fries."
"Please give me Fries, 6 Nuggets, Diet Cocacola","Sure! You've ordered Fries, 6 Nuggets, Diet Cocacola."
"Please give me Classic Double Melt, Diet Cocacola, Ham Burger","Sure! You've ordered Classic Double Melt, Diet Cocacola, Ham Burger."
"Could I have Fries, medium Diet Cocacola","Sure! You've ordered Fries, Diet Cocacola."
"Could I have 6 Doritos, small Chicken Royale","Sure! You've ordered 6 Doritos, Chicken Royale."
"Could I have 20 Chilli Bites, Fanta, PB Whopper","Sure! You've ordered 20 Chilli Bites, Fanta, PB Whopper."
"I need Fanta, medium Steakhouse Chicken, medium Steakhouse Angus","Sure! You've ordered Fanta, Steakhouse Chicken, Steakhouse Angus."
I want Chimichuri Chicken,Sure! You've ordered Chimichuri Chicken.
I'll have Chicken Royale,Sure! You've ordered Chicken Royale.
Please give me Fanta,Sure! You've ordered Fanta.
I want Water,Sure! You've ordered Water.
Can you get me medium 20 Nuggets,Sure! You've ordered 20 Nuggets.
Can you get me Bacon Double,Sure! You've ordered Bacon Double.
"I'll have Steakhouse Angus, Large Fries, large 9 Chilli Bites","Sure! You've ordered Steakhouse Angus, Large Fries, 9 Chilli Bites."
Can I get medium Chimichuri Angus,Sure! You've ordered Chimichuri Angus.
"I need medium Chicken Royale, Classic Double Melt","Sure! You've ordered Chicken Royale, Classic Double Melt."
"Please give me Barbeque Sauce, Large Fries","Sure! You've ordered Barbeque Sauce, Large Fries."
"Please give me Sprite Zero, 4 Chilli Bites","Sure! You've ordered Sprite Zero, 4 Chilli Bites."
"I want Bacon Double X L, Bacon Double","Sure! You've ordered Bacon Double X L, Bacon Double."
"I need medium Bacon Loaded Fries, Cocacola Classic","Sure! You've ordered Bacon Loaded Fries, Cocacola Classic."
I'd like to order large Steakhouse Chicken,Sure! You've ordered Steakhouse Chicken.
Please give me Sprite Zero,Sure! You've ordered Sprite Zero.
Could I have medium Bacon Double X L,Sure! You've ordered Bacon Double X L.
"I want 9 Nuggets, Mayo","Sure! You've ordered 9 Nuggets, Mayo."
"I want 20 Nuggets, Chimichuri Loaded Fries, Bacon Double","Sure! You've ordered 20 Nuggets, Chimichuri Loaded Fries, Bacon Double."
"Can I get medium Chicken Royale, large 9 Doritos","Sure! You've ordered Chicken Royale, 9 Doritos."
"Could I have Cheese Burger, 20 Chilli Bites","Sure! You've ordered Cheese Burger, 20 Chilli Bites."
"I need Cocacola Zero, 20 Chilli Bites","Sure! You've ordered Cocacola Zero, 20 Chilli Bites."
Can you get me Cocacola Zero,Sure! You've ordered Cocacola Zero.
"I want Bacon Loaded Fries, small Large Fries","Sure! You've ordered Bacon Loaded Fries, Large Fries."
"Can I get Classic Double Melt, Bacon Stacker","Sure! You've ordered Classic Double Melt, Bacon Stacker."
I'd like to order Steakhouse Angus,Sure! You've ordered Steakhouse Angus.
Can I get large Barbeque Sauce,Sure! You've ordered Barbeque Sauce.
I'll have Cheese Burger,Sure! You've ordered Cheese Burger.
I need Barbeque Sauce,Sure! You've ordered Barbeque Sauce.
Please give me Small Fries,Sure! You've ordered Small Fries.
"Can you get me Mayo, Spicy Mayo, Diet Cocacola","Sure! You've ordered Mayo, Spicy Mayo, Diet Cocacola."
Please give me Barbeque Sauce,Sure! You've ordered Barbeque Sauce.
I'd like to order Cheese Burger,Sure! You've ordered Cheese Burger.
"I need Classic Double Melt, Chimichuri Loaded Fries","Sure! You've ordered Classic Double Melt, Chimichuri Loaded Fries."
"I'll have Small Fries, Cheese Loaded Fries, Cocacola Zero","Sure! You've ordered Small Fries, Cheese Loaded Fries, Cocacola Zero."
"Can you get me large Chimichuri Chicken, medium 6 Doritos","Sure! You've ordered Chimichuri Chicken, 6 Doritos."
"Can I get 5 Doritos, Water, Chicken Royale","Sure! You've ordered 5 Doritos, Water, Chicken Royale."
I'd like to order 9 Doritos,Sure! You've ordered 9 Doritos.
"I'll have Cheese Burger, 3 Chilli Bites, 20 Chilli Bites","Sure! You've ordered Cheese Burger, 3 Chilli Bites, 20 Chilli Bites."
I'll have Barbeque Sauce,Sure! You've ordered Barbeque Sauce.
"I'll have Tea, Chimichuri Angus","Sure! You've ordered Tea, Chimichuri Angus."
"I want 20 Chilli Bites, Chilli Jam Whopper","Sure! You've ordered 20 Chilli Bites, Chilli Jam Whopper."
Please give me 20 Doritos,Sure! You've ordered 20 Doritos.
"I'll have Chimichuri Chicken, medium Vegan Royale","Sure! You've ordered Chimichuri Chicken, Vegan Royale."
"Could I have 20 Doritos, Ham Burger","Sure! You've ordered 20 Doritos, Ham Burger."
"Can I get large Vegan Royale, Hot Chilli, Water","Sure! You've ordered Vegan Royale, Hot Chilli, Water."
"I'll have 6 Chilli Bites, small 20 Nuggets, Chimichuri Loaded Fries","Sure! You've ordered 6 Chilli Bites, 20 Nuggets, Chimichuri Loaded Fries."
I'd like to order medium Fanta,Sure! You've ordered Fanta.
I'll have Bacon Double,Sure! You've ordered Bacon Double.
"I need small 6 Chilli Bites, 20 Nuggets, Chilli Jam Whopper","Sure! You've ordered 6 Chilli Bites, 20 Nuggets, Chilli Jam Whopper."
"Can you get me medium Spicy Mayo, Bacon Loaded Fries","Sure! You've ordered Spicy Mayo, Bacon Loaded Fries."
"I'll have Barbeque Double Melt, Fanta","Sure! You've ordered Barbeque Double Melt, Fanta."
I'll have Steakhouse Chicken,Sure! You've ordered Steakhouse Chicken.
"I'll have Bacon Double X L, Spicy Mayo, Barbeque Double Melt","Sure! You've ordered Bacon Double X L, Spicy Mayo, Barbeque Double Melt."
"I need large Chicken Royale, large 9 Nuggets","Sure! You've ordered Chicken Royale, 9 Nuggets."
"Please give me Steakhouse Chicken, Cocacola Classic","Sure! You've ordered Steakhouse Chicken, Cocacola Classic."
"Can I get PB Whopper, 6 Chilli Bites","Sure! You've ordered PB Whopper, 6 Chilli Bites."
"I'd like to order large Fries, PB Whopper, small Chimichuri Loaded Fries","Sure! You've ordered Fries, PB Whopper, Chimichuri Loaded Fries."
"Please give me medium Cocacola Zero, Steakhouse Chicken","Sure! You've ordered Cocacola Zero, Steakhouse Chicken."
"I need 20 Nuggets, 6 Nuggets","Sure! You've ordered 20 Nuggets, 6 Nuggets."
"Please give me Tea, 5 Doritos","Sure! You've ordered Tea, 5 Doritos."
"Please give me Water, large Fanta","Sure! You've ordered Water, Fanta."
"Please give me 3 Chilli Bites, 4 Nuggets","Sure! You've ordered 3 Chilli Bites, 4 Nuggets."
Can you get me Classic Double Melt,Sure! You've ordered Classic Double Melt.
"Could I have large 6 Doritos, Small Fries, Chilli Jam Halumi","Sure! You've ordered 6 Doritos, Small Fries, Chilli Jam Halumi."
"I want medium Steakhouse Chicken, large Fries, large PB Whopper","Sure! You've ordered Steakhouse Chicken, Fries, PB Whopper."
Can I get Whopper,Sure! You've ordered Whopper.
I'll have 20 Chilli Bites,Sure! You've ordered 20 Chilli Bites.
Can I get Barbeque Sauce,Sure! You've ordered Barbeque Sauce.
Please give me medium Steakhouse Angus,Sure! You've ordered Steakhouse Angus.
